pid,tid,event_type,start_time,end_time,mark_id,message,domain,rid,name,type,=recvTokenSize,=QueueSize,queue,from,to,action,LogicalBlockNum,=deviceKvCache,+WAITING,+RUNNING,+PENDING,+END,=replyTokenSize,rid_list,token_id_list,batch_size,batch_type,during_time,metrics
253317,254643,start/end,1727940491087998.5,1727940491088014.2,524,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 13}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[13],1.0,Decode,15.75,
253317,254643,start/end,1727940491107796.2,1727940491107796.8,529,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940491107818.8,1727940491107900.5,531,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 14}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[14],1.0,Decode,81.75,
253317,254645,start/end,1727940491107862.5,1727940491107863.8,532,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,1.25,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
253317,254643,start/end,1727940491107932.8,1727940491107950.2,536,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 14}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[14],1.0,Decode,17.5,
253317,254643,start/end,1727940491127668.2,1727940491127668.8,541,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940491127690.0,1727940491127807.5,543,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 15}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[15],1.0,Decode,117.5,
253317,254645,start/end,1727940491127731.5,1727940491127732.2,544,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,0.75,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
253317,254643,start/end,1727940491127839.5,1727940491127856.5,548,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 15}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[15],1.0,Decode,17.0,
253317,254643,start/end,1727940491147579.8,1727940491147580.5,553,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.75,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940491147607.8,1727940491147705.8,555,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 16}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[16],1.0,Decode,98.0,
253317,254645,start/end,1727940491147661.5,1727940491147662.5,556,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,1.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
253317,254643,start/end,1727940491147738.8,1727940491147753.2,560,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 16}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[16],1.0,Decode,14.5,
