time,metrics
1727940492941442.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492941539.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492961559.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492961627.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492981545.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492981627.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493001618.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493003034.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493023400.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493023483.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493043702.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493043778.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493063872.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493063946.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493083979.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493084060.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493104218.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493104297.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493124327.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493124413.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493144594.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493144684.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493165002.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493165115.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493185247.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493185324.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493205523.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493205667.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493227942.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493228021.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493248174.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493248255.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493268375.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493268452.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493288526.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493288627.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493308609.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493308697.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493328642.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493328710.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493348606.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493348721.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493368654.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493368731.5,{'=deviceKvCache': 1977.0}
1727940493368759.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493388887.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493388956.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493408837.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493408966.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493428830.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493428897.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493448788.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493448887.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493468727.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493468815.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493488808.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493488875.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493508774.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493508882.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493528765.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493528862.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493548691.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493548767.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493568734.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493568853.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493588935.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493589025.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493609053.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493609132.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493629137.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493629223.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493650013.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493650115.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493670278.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493670391.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493690595.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493690690.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493710726.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493710867.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493730944.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493731060.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493751119.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493751198.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493771358.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493771443.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493791612.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493791703.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493812223.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493812314.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493833088.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493833249.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493853924.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493854026.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493874709.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493874830.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493895408.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493895535.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493916011.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493916129.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493936729.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493936830.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493957448.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493957537.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493978234.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493978330.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940493999229.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940493999377.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494020350.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494020456.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494040976.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494041076.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494062682.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494062881.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494083551.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494083654.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494104194.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494104303.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494124521.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494124621.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494144848.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494144957.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494164945.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494165125.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494186258.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494186335.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494206609.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494206706.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494226826.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494226906.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494246972.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494247052.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494267377.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494267475.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494288008.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494288099.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494308291.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494308380.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494328426.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494328621.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494348712.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494348819.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494368978.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494369102.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494389425.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494389624.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494409748.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494409852.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494431750.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494431874.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494452816.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494452906.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494473280.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494473389.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494493614.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494493770.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940494514427.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940494514521.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
